Timestamp,Event,Traceability - carrier ID,Traceability - device ID,Machine config - unique machine id,Machine config - name of the operator,Machine config - current bond program,Traceability - port number,Traceability - assembly number,Traceability - wire number,Traceability - bond number,Traceability - reference system,Calibration result - transducer - detected impedance at resonance frequency [Ohm],Machine config - wedge impedance,Machine config - us factor,Usage counter - wedge,Traceability touch down parameter+Search area [µm],Traceability touch down parameter+Speed [µm/sec],Traceability touch down parameter+Force [cN],Traceability touch down parameter+Overtravel [µm],Traceability process parameter+Process phase+Process phase 1+Current [mA],Traceability process parameter+Process phase+Process phase 1+Voltage [V],Traceability process parameter+Process phase+Process phase 1+Bondforce [cN],Traceability process parameter+Process phase+Process phase 1+Force ramp [ms],traceability_process_parameter+phase_count+phase_count0+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count0+Duration,Traceability process parameter+Process phase+Process phase 2+Current [mA],Traceability process parameter+Process phase+Process phase 2+Voltage [V],Traceability process parameter+Process phase+Process phase 2+Bondforce [cN],Traceability process parameter+Process phase+Process phase 2+Force ramp [ms],traceability_process_parameter+phase_count+phase_count1+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count1+Duration,Traceability process parameter+Process phase+Process phase 3+Current [mA],Traceability process parameter+Process phase+Process phase 3+Voltage [V],Traceability process parameter+Process phase+Process phase 3+Bondforce [cN],Traceability process parameter+Process phase+Process phase 3+Force ramp [ms],traceability_process_parameter+phase_count+phase_count2+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count2+Duration,Traceability process parameter+Process phase+Process phase 4+Current [mA],Traceability process parameter+Process phase+Process phase 4+Voltage [V],Traceability process parameter+Process phase+Process phase 4+Bondforce [cN],Traceability process parameter+Process phase+Process phase 4+Force ramp [ms],traceability_process_parameter+phase_count+phase_count3+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count3+Duration,Traceability process parameter+Process phase+Process phase 5+Current [mA],Traceability process parameter+Process phase+Process phase 5+Voltage [V],Traceability process parameter+Process phase+Process phase 5+Bondforce [cN],Traceability process parameter+Process phase+Process phase 5+Force ramp [ms],traceability_process_parameter+phase_count+phase_count4+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count4+Duration,Traceability process parameter+Process phase+Process phase 6+Current [mA],Traceability process parameter+Process phase+Process phase 6+Voltage [V],Traceability process parameter+Process phase+Process phase 6+Bondforce [cN],Traceability process parameter+Process phase+Process phase 6+Force ramp [ms],traceability_process_parameter+phase_count+phase_count5+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count5+Duration,Traceability process parameter+Process phase+Process phase 7+Current [mA],Traceability process parameter+Process phase+Process phase 7+Voltage [V],Traceability process parameter+Process phase+Process phase 7+Bondforce [cN],Traceability process parameter+Process phase+Process phase 7+Force ramp [ms],traceability_process_parameter+phase_count+phase_count6+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count6+Duration,Traceability process parameter+Process phase+Process phase 8+Current [mA],Traceability process parameter+Process phase+Process phase 8+Voltage [V],Traceability process parameter+Process phase+Process phase 8+Bondforce [cN],Traceability process parameter+Process phase+Process phase 8+Force ramp [ms],traceability_process_parameter+phase_count+phase_count7+Ultrasonic_ramp,traceability_process_parameter+phase_count+phase_count7+Duration
2018-05-02T16:47:27,Bond finished,,A4080000_04GME38B15072184W0000011,BJ980-0002,admin,ceshi0415,1,1,1,1,3,9.9046,9.9046,1.0000,3329,1500.0000,7500.0000,700.0000,450.0000,0.0000,24.0000,420.0000,0.0000,,,0.0000,11.0000,490.0000,0.0000,,,0.0000,11.0000,700.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,
2018-05-02T16:47:28,Bond finished,,A4080000_04GME38B15072184W0000011,BJ980-0002,admin,ceshi0415,1,1,1,2,1,9.9046,9.9046,1.0000,3329,1000.0000,7500.0000,600.0000,380.0000,0.0000,27.0000,420.0000,0.0000,,,0.0000,11.0000,560.0000,0.0000,,,0.0000,11.0000,700.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,,
